Channel(362->363|-1): BW:4.545454545454545E7, Transmissions:1,180000.0,907079.3777333334
Channel(353->352|-1): BW:4.545454545454545E7, Transmissions:1,180000.0,1765557.9543555556
Channel(227->228|-1): BW:1.25E8, Transmissions:1,180000.0,6.30666005291E7
Channel(356->357|-1): BW:4.761904761904762E7, Transmissions:1,180000.0,1603731.6773611112
Channel(241->242|-1): BW:4.761904761904762E7, Transmissions:1,180000.0,2.3048243287211113E7
Channel(113->116|-1): BW:2.0E8, Transmissions:1,180000.0,1.2248253968252778E8
Channel(345->344|-1): BW:3.75E8, Transmissions:1,180000.0,1.8918055555555556E7
Channel(347->346|-1): BW:1.25E8, Transmissions:1,180000.0,4270138.888888889
Channel(339->340|-1): BW:1.25E8, Transmissions:1,180000.0,7965972.222222222
Channel(361->360|-1): BW:1.4285714285714287E8, Transmissions:1,180000.0,3325529.100527778
Channel(363->362|-1): BW:4.761904761904762E7, Transmissions:1,180000.0,953499.0253388889
Channel(339->338|-1): BW:1.4285714285714287E8, Transmissions:1,180000.0,1.1768121693122223E7
Channel(224->223|-1): BW:5.0E7, Transmissions:1,180000.0,2.480804679296111E7
Channel(354->351|-1): BW:4.761904761904762E7, Transmissions:1,180000.0,1864834.80965
Channel(228->227|-1): BW:1.25E8, Transmissions:1,180000.0,6.30666005291E7
Channel(38->35|-1): BW:3.75E8, Transmissions:1,180000.0,4.756319444444444E8
Channel(359->360|-1): BW:4.761904761904762E7, Transmissions:1,180000.0,1183237.5874277777
Channel(368->369|-1): BW:4.545454545454545E7, Transmissions:1,180000.0,547430.2549277778
Channel(357->356|-1): BW:4.545454545454545E7, Transmissions:1,180000.0,1519475.1274666667
Channel(242->241|-1): BW:4.545454545454545E7, Transmissions:1,180000.0,2.26713327892E7
Channel(114->115|-1): BW:7.5E8, Transmissions:1,180000.0,4.968041666666667E8
Channel(36->35|-1): BW:1.25E8, Transmissions:1,180000.0,1.439746979717611E8
Channel(310->313|-1): BW:4.545454545454545E7, Transmissions:1,180000.0,1.0036622193216667E7
Channel(378->379|-1): BW:2.0E8, Transmissions:1,180000.0,0.0
Channel(11->10|-1): BW:1.25E8, Transmissions:1,180000.0,1.9631582892414445E8
Channel(369->368|-1): BW:4.761904761904762E7, Transmissions:1,180000.0,573869.3957111111
Channel(243->240|-1): BW:7.5E8, Transmissions:1,180000.0,3.033E8
Channel(115->114|-1): BW:7.5E8, Transmissions:1,180000.0,4.968041666666667E8
Channel(311->312|-1): BW:4.761904761904762E7, Transmissions:1,180000.0,1.0718564992872221E7
Channel(379->378|-1): BW:2.0E8, Transmissions:1,180000.0,0.0
Channel(314->317|-1): BW:1.111111111111111E8, Transmissions:1,180000.0,1.5933503086416667E7
Channel(116->113|-1): BW:2.0E8, Transmissions:1,180000.0,1.2248253968252778E8
Channel(303->304|-1): BW:1.111111111111111E8, Transmissions:1,180000.0,2.3851188271605555E7
Channel(315->316|-1): BW:1.6666666666666666E8, Transmissions:1,180000.0,2.5307572751333334E7
Channel(12->11|-1): BW:7.5E8, Transmissions:1,180000.0,6.6396875E8
Channel(304->303|-1): BW:1.25E8, Transmissions:1,180000.0,2.5933172398594443E7
Channel(331->332|-1): BW:4.761904761904762E7, Transmissions:1,180000.0,8069336.66265
Channel(223->226|-1): BW:4.761904761904762E7, Transmissions:1,180000.0,2.4448267117744446E7
Channel(10->11|-1): BW:1.25E8, Transmissions:1,180000.0,1.9631582892414445E8
Channel(312->311|-1): BW:4.545454545454545E7, Transmissions:1,180000.0,1.0036622193216667E7
Channel(316->315|-1): BW:1.6666666666666666E8, Transmissions:1,180000.0,2.5307572751333334E7
Channel(37->36|-1): BW:1.25E8, Transmissions:1,180000.0,1.468135119047389E8
Channel(332->331|-1): BW:4.545454545454545E7, Transmissions:1,180000.0,7553873.464094444
Channel(346->349|-1): BW:4.761904761904762E7, Transmissions:1,180000.0,1913125.407938889
Channel(35->36|-1): BW:1.25E8, Transmissions:1,180000.0,1.3837102733682778E8
Channel(362->365|-1): BW:3.75E8, Transmissions:1,180000.0,7020833.333333333
Channel(317->314|-1): BW:1.25E8, Transmissions:1,180000.0,1.78158840388E7
Channel(351->352|-1): BW:4.545454545454545E7, Transmissions:1,180000.0,1765557.9543555556
Channel(371->372|-1): BW:4.761904761904762E7, Transmissions:1,180000.0,530185.1851833333
Channel(347->348|-1): BW:4.761904761904762E7, Transmissions:1,180000.0,1913125.407938889
Channel(363->364|-1): BW:1.4285714285714287E8, Transmissions:1,180000.0,3477777.777777778
Channel(352->351|-1): BW:4.761904761904762E7, Transmissions:1,180000.0,1864834.80965
Channel(224->225|-1): BW:4.545454545454545E7, Transmissions:1,180000.0,2.5530087720444445E7
Channel(228->229|-1): BW:1.25E8, Transmissions:1,180000.0,5.4817281746022224E7
Channel(240->241|-1): BW:1.25E8, Transmissions:1,180000.0,4.9277797619044445E7
Channel(357->358|-1): BW:7.5E8, Transmissions:1,180000.0,1.51875E7
Channel(348->347|-1): BW:4.545454545454545E7, Transmissions:1,180000.0,1810399.2241944445
Channel(370->367|-1): BW:1.4285714285714287E8, Transmissions:1,180000.0,1769444.4444444445
Channel(373->374|-1): BW:4.761904761904762E7, Transmissions:1,180000.0,424074.0740722222
Channel(375->376|-1): BW:4.761904761904762E7, Transmissions:1,180000.0,100000.0
Channel(364->363|-1): BW:1.4285714285714287E8, Transmissions:1,180000.0,3477777.777777778
Channel(36->37|-1): BW:1.4285714285714287E8, Transmissions:1,180000.0,1.5463546957671112E8
Channel(367->370|-1): BW:1.4285714285714287E8, Transmissions:1,180000.0,1769444.4444444445
Channel(225->224|-1): BW:4.761904761904762E7, Transmissions:1,180000.0,2.634329747218889E7
Channel(300->299|-1): BW:7.5E8, Transmissions:1,180000.0,1.532E8
Channel(367->368|-1): BW:4.761904761904762E7, Transmissions:1,180000.0,573869.3957111111
Channel(11->12|-1): BW:7.5E8, Transmissions:1,180000.0,6.6396875E8
Channel(241->240|-1): BW:1.4285714285714287E8, Transmissions:1,180000.0,5.214971560846111E7
Channel(113->114|-1): BW:2.0E8, Transmissions:1,180000.0,1.2248253968252778E8
Channel(358->357|-1): BW:7.5E8, Transmissions:1,180000.0,1.51875E7
Channel(380->377|-1): BW:1.6666666666666666E8, Transmissions:1,180000.0,0.0
Channel(349->346|-1): BW:4.545454545454545E7, Transmissions:1,180000.0,1810399.2241944445
Channel(270->271|-1): BW:3.75E8, Transmissions:1,180000.0,1.2681458333333333E8
Channel(372->371|-1): BW:4.545454545454545E7, Transmissions:1,180000.0,505856.1808555556
Channel(374->373|-1): BW:4.545454545454545E7, Transmissions:1,180000.0,404797.9798
Channel(376->375|-1): BW:5.0E7, Transmissions:1,180000.0,105000.0
Channel(377->380|-1): BW:1.6666666666666666E8, Transmissions:1,180000.0,0.0
Channel(365->362|-1): BW:3.75E8, Transmissions:1,180000.0,7020833.333333333
Channel(226->223|-1): BW:5.0E7, Transmissions:1,180000.0,2.480804679296111E7
Channel(377->378|-1): BW:1.6666666666666666E8, Transmissions:1,180000.0,0.0
Channel(368->367|-1): BW:4.545454545454545E7, Transmissions:1,180000.0,547430.2549277778
Channel(114->113|-1): BW:2.0E8, Transmissions:1,180000.0,1.2248253968252778E8
Channel(229->228|-1): BW:1.4285714285714287E8, Transmissions:1,180000.0,5.8470522486766666E7
Channel(271->270|-1): BW:3.75E8, Transmissions:1,180000.0,1.2681458333333333E8
Channel(310->311|-1): BW:4.545454545454545E7, Transmissions:1,180000.0,1.0036622193216667E7
Channel(378->377|-1): BW:1.6666666666666666E8, Transmissions:1,180000.0,0.0
Channel(304->305|-1): BW:1.25E8, Transmissions:1,180000.0,2.5933172398594443E7
Channel(288->289|-1): BW:4.761904761904762E7, Transmissions:1,180000.0,1.7542456540233333E7
Channel(311->310|-1): BW:4.761904761904762E7, Transmissions:1,180000.0,1.0718564992872221E7
Channel(314->315|-1): BW:4.545454545454545E7, Transmissions:1,180000.0,9291437.008033333
Channel(305->304|-1): BW:1.111111111111111E8, Transmissions:1,180000.0,2.3851188271605555E7
Channel(332->333|-1): BW:4.545454545454545E7, Transmissions:1,180000.0,7553873.464094444
Channel(298->299|-1): BW:4.545454545454545E7, Transmissions:1,180000.0,1.26685512704E7
Channel(35->38|-1): BW:3.75E8, Transmissions:1,180000.0,4.756319444444444E8
Channel(315->314|-1): BW:4.761904761904762E7, Transmissions:1,180000.0,9920152.29446111
Channel(351->354|-1): BW:4.545454545454545E7, Transmissions:1,180000.0,1765557.9543555556
Channel(342->343|-1): BW:1.25E8, Transmissions:1,180000.0,5839186.507938889
Channel(344->345|-1): BW:3.75E8, Transmissions:1,180000.0,1.8918055555555556E7
Channel(333->332|-1): BW:4.761904761904762E7, Transmissions:1,180000.0,8069336.66265
Channel(340->339|-1): BW:1.111111111111111E8, Transmissions:1,180000.0,7080864.197527777
Channel(338->341|-1): BW:1.4285714285714287E8, Transmissions:1,180000.0,1.1768121693122223E7
Channel(360->361|-1): BW:1.4285714285714287E8, Transmissions:1,180000.0,3325529.100527778
Channel(336->337|-1): BW:1.25E8, Transmissions:1,180000.0,1.1439980158733333E7
Channel(338->339|-1): BW:1.4285714285714287E8, Transmissions:1,180000.0,1.1768121693122223E7
Channel(223->224|-1): BW:4.761904761904762E7, Transmissions:1,180000.0,2.4448267117744446E7
Channel(360->359|-1): BW:4.545454545454545E7, Transmissions:1,180000.0,1124054.6863777777
Channel(289->288|-1): BW:4.545454545454545E7, Transmissions:1,180000.0,1.6924016455016665E7
Channel(352->353|-1): BW:4.761904761904762E7, Transmissions:1,180000.0,1864834.80965
Channel(343->342|-1): BW:1.25E8, Transmissions:1,180000.0,5839186.507938889
Channel(299->300|-1): BW:7.5E8, Transmissions:1,180000.0,1.532E8
Channel(341->338|-1): BW:1.4285714285714287E8, Transmissions:1,180000.0,1.1768121693122223E7
Channel(240->243|-1): BW:7.5E8, Transmissions:1,180000.0,3.033E8
Channel(346->347|-1): BW:1.4285714285714287E8, Transmissions:1,180000.0,4880158.7301555555
Channel(299->298|-1): BW:4.761904761904762E7, Transmissions:1,180000.0,1.3350494070055556E7
Channel(337->336|-1): BW:1.25E8, Transmissions:1,180000.0,1.1439980158733333E7
Channel(241->242|-1): BW:1.4285714285714287E8, Transmissions:1,360000.0,6.212523758438889E7
Channel(38->35|-1): BW:7.5E8, Transmissions:1,360000.0,7.011416666666666E8
Channel(242->241|-1): BW:1.4285714285714287E8, Transmissions:1,360000.0,6.159315749065556E7
Channel(36->35|-1): BW:2.5E8, Transmissions:1,360000.0,1.7165186628184444E8
Channel(416->417|-1): BW:1.4285714285714287E8, Transmissions:1,360000.0,5.31642374434E7
Channel(243->240|-1): BW:7.5E8, Transmissions:1,360000.0,7.5E8
Channel(438->439|-1): BW:1.4285714285714287E8, Transmissions:1,360000.0,5.219542685295E7
Channel(417->416|-1): BW:1.4285714285714287E8, Transmissions:1,360000.0,5.326052287810556E7
Channel(462->463|-1): BW:3.333333333333333E8, Transmissions:1,360000.0,1.839970370370389E8
Channel(37->36|-1): BW:2.5E8, Transmissions:1,360000.0,2.0413065476190555E8
Channel(463->462|-1): BW:3.333333333333333E8, Transmissions:1,360000.0,1.839970370370389E8
Channel(439->438|-1): BW:1.4285714285714287E8, Transmissions:1,360000.0,5.214395211832222E7
Channel(35->36|-1): BW:2.5E8, Transmissions:1,360000.0,1.6948246484995556E8
Channel(240->241|-1): BW:2.5E8, Transmissions:1,360000.0,2.0413065476190555E8
Channel(373->374|-1): BW:1.4285714285714287E8, Transmissions:1,360000.0,6.212523758438889E7
Channel(36->37|-1): BW:2.5E8, Transmissions:1,360000.0,1.971466005291E8
Channel(416->419|-1): BW:1.4285714285714287E8, Transmissions:1,360000.0,5.31642374434E7
Channel(241->240|-1): BW:2.5E8, Transmissions:1,360000.0,1.971466005291E8
Channel(374->373|-1): BW:1.4285714285714287E8, Transmissions:1,360000.0,6.159315749065556E7
Channel(417->418|-1): BW:1.4285714285714287E8, Transmissions:1,360000.0,5.326052287810556E7
Channel(437->440|-1): BW:2.0E8, Transmissions:1,360000.0,6.2779840016055554E7
Channel(437->438|-1): BW:1.4285714285714287E8, Transmissions:1,360000.0,5.214395211832222E7
Channel(418->417|-1): BW:1.4285714285714287E8, Transmissions:1,360000.0,5.31642374434E7
Channel(440->437|-1): BW:2.0E8, Transmissions:1,360000.0,6.251820990100556E7
Channel(438->437|-1): BW:1.4285714285714287E8, Transmissions:1,360000.0,5.219542685295E7
Channel(35->38|-1): BW:7.5E8, Transmissions:1,360000.0,7.011416666666666E8
Channel(419->416|-1): BW:1.4285714285714287E8, Transmissions:1,360000.0,5.326052287810556E7
Channel(240->243|-1): BW:7.5E8, Transmissions:1,360000.0,7.5E8
Channel(373->374|-1): BW:1.0E9, Transmissions:1,540000.0,3.417219576719555E8
Channel(374->373|-1): BW:1.0E9, Transmissions:1,540000.0,3.417219576719555E8
Channel(373->374|-1): BW:1.0E9, Transmissions:1,720000.0,1.0E9
Channel(374->373|-1): BW:1.0E9, Transmissions:1,720000.0,1.0E9
Channel(374->373|-1): BW:1.0E9, Transmissions:1,1467231.1715205247,4.1512842862251387E9
